Ouverture de la DataFrame...
On ne garde que les données du centre...
On sépare par la Seine
Clusterisation...
Sauvegarde sur la carte...
Terminé !
         46068305 function calls (46035909 primitive calls) in 57.801 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _strptime.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:84(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        1    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:91(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:95(__calc_am_pm)
     2280    0.008    0.000    0.009    0.000 _ufunc_config.py:132(geterr)
     2280    0.010    0.000    0.024    0.000 _ufunc_config.py:32(seterr)
     1137    0.001    0.000    0.001    0.000 _ufunc_config.py:429(__init__)
     1140    0.003    0.000    0.016    0.000 _ufunc_config.py:433(__enter__)
     1140    0.003    0.000    0.013    0.000 _ufunc_config.py:438(__exit__)
        3    0.000    0.000    0.000    0.000 _validators.py:112(_check_for_invalid_keys)
        3    0.000    0.000    0.000    0.000 _validators.py:125(validate_kwargs)
        7    0.000    0.000    0.000    0.000 _validators.py:208(validate_bool_kwarg)
        3    0.000    0.000    0.000    0.000 _validators.py:33(_check_for_default_values)
      160    0.000    0.000    0.000    0.000 _vectorized.py:146(to_shapely)
      163    0.001    0.000    6.253    0.038 _vectorized.py:222(_points_from_xy)
      163    0.482    0.003    6.252    0.038 _vectorized.py:231(<listcomp>)
      163    0.018    0.000    6.287    0.039 _vectorized.py:235(points_from_xy)
        3    0.000    0.000    0.000    0.000 _vectorized.py:92(from_shapely)
1535/1323    0.001    0.000    0.004    0.000 abc.py:100(__subclasscheck__)
     3581    0.003    0.000    0.012    0.000 abc.py:96(__instancecheck__)
      515    0.006    0.000    0.018    0.000 algorithms.py:1511(_get_take_nd_function)
      515    0.017    0.000    0.491    0.001 algorithms.py:1640(take_nd)
       24    0.000    0.000    0.001    0.000 algorithms.py:180(_reconstruct_data)
        6    0.000    0.000    0.004    0.001 algorithms.py:2015(safe_sort)
       24    0.000    0.000    0.000    0.000 algorithms.py:223(_ensure_arraylike)
       18    0.000    0.000    0.001    0.000 algorithms.py:247(_get_hashtable_algo)
        6    0.000    0.000    0.000    0.000 algorithms.py:265(_get_values_for_rank)
        6    0.000    0.000    0.001    0.000 algorithms.py:273(_get_data_algo)
       24    0.000    0.000    0.001    0.000 algorithms.py:282(_check_object_for_strings)
       18    0.000    0.000    0.003    0.000 algorithms.py:311(unique)
        6    0.001    0.000    0.011    0.002 algorithms.py:478(_factorize_array)
        6    0.003    0.000    0.021    0.004 algorithms.py:518(factorize)
       30    0.000    0.000    0.003    0.000 algorithms.py:71(_ensure_data)
      160    0.000    0.000    0.001    0.000 array.py:1008(__array__)
      326    0.000    0.000    0.000    0.000 array.py:123(_geom_to_shapely)
        3    0.000    0.000    0.000    0.000 array.py:150(from_shapely)
      160    0.000    0.000    0.001    0.000 array.py:169(to_shapely)
      163    0.002    0.000    6.290    0.039 array.py:230(points_from_xy)
      181    0.001    0.000    0.001    0.000 array.py:264(__init__)
        6    0.000    0.000    0.000    0.000 array.py:283(crs)
      184    0.000    0.000    0.000    0.000 array.py:297(crs)
       57    0.000    0.000    0.000    0.000 array.py:315(dtype)
       42    0.000    0.000    0.000    0.000 array.py:319(__len__)
      326    0.001    0.000    0.003    0.000 array.py:322(__getitem__)
       20    0.000    0.000    0.000    0.000 array.py:33(construct_from_string)
       45    0.000    0.000    0.000    0.000 array.py:700(size)
       45    0.000    0.000    0.000    0.000 array.py:704(shape)
        3    0.000    0.000    0.000    0.000 array.py:708(ndim)
       15    0.000    0.000    0.000    0.000 array.py:712(copy)
      162    0.002    0.000    0.026    0.000 array_ops.py:119(na_arithmetic_op)
      162    0.005    0.000    0.048    0.000 array_ops.py:195(comparison_op)
      162    0.000    0.000    0.000    0.000 array_ops.py:404(maybe_upcast_datetimelike_array)
        1    0.000    0.000    0.000    0.000 attr.txt:1(<module>)
        2    0.000    0.000    0.000    0.000 attr.txt:5(root)
        8    0.000    0.000    0.000    0.000 base.py:1032(__iter__)
        9    0.000    0.000    0.000    0.000 base.py:116(_invalidate_sindex)
      323    0.000    0.000    0.000    0.000 base.py:1175(name)
       26    0.000    0.000    0.000    0.000 base.py:1182(name)
     4384    0.003    0.000    0.005    0.000 base.py:1188(isspmatrix)
        1    0.000    0.000    0.009    0.009 base.py:120(cmp_method)
        6    0.000    0.000    0.000    0.000 base.py:1213(_get_names)
        6    0.000    0.000    0.000    0.000 base.py:1216(_set_names)
        6    0.000    0.000    0.000    0.000 base.py:1246(set_names)
        6    0.000    0.000    0.001    0.000 base.py:1255(unique)
        6    0.000    0.000    0.000    0.000 base.py:131(crs)
        6    0.000    0.000    0.000    0.000 base.py:1324(rename)
      542    0.000    0.000    0.000    0.000 base.py:1378(nlevels)
   313617    0.722    0.000    0.927    0.000 base.py:142(geos_geom_from_py)
        3    0.000    0.000    0.000    0.000 base.py:145(crs)
        9    0.000    0.000    0.000    0.000 base.py:155(kind)
       42    0.000    0.000    0.002    0.000 base.py:1571(is_monotonic)
       24    0.002    0.000    0.002    0.000 base.py:1578(is_monotonic_increasing)
       28    0.002    0.000    0.003    0.000 base.py:1646(is_unique)
        7    0.000    0.000    0.000    0.000 base.py:1685(is_boolean)
        6    0.000    0.000    0.000    0.000 base.py:1720(is_integer)
      350    0.001    0.000    0.002    0.000 base.py:1755(is_floating)
        3    0.000    0.000    0.000    0.000 base.py:180(names)
      320    0.000    0.000    0.000    0.000 base.py:1994(holds_integer)
       29    0.000    0.000    0.001    0.000 base.py:2000(inferred_type)
        7    0.000    0.000    0.000    0.000 base.py:2007(is_all_dates)
      200    0.000    0.000    0.000    0.000 base.py:201(construct_from_string)
        3    0.000    0.000    0.000    0.000 base.py:21(is_geometry_type)
        6    0.000    0.000    0.001    0.000 base.py:2217(unique)
   943243    1.216    0.000    1.216    0.000 base.py:224(empty)
314733/314574    0.275    0.000    0.989    0.000 base.py:241(__del__)
       12    0.000    0.000    0.000    0.000 base.py:2480(_validate_sort_keyword)
     3694    0.004    0.000    0.020    0.000 base.py:256(is_dtype)
        6    0.001    0.000    0.001    0.000 base.py:259(_inner_indexer)
   320953    0.207    0.000    0.207    0.000 base.py:261(_geom)
        6    0.000    0.000    0.000    0.000 base.py:2614(_wrap_setop_result)
       12    0.001    0.000    0.012    0.001 base.py:2619(intersection)
   314733    0.277    0.000    0.484    0.000 base.py:265(_geom)
       12    0.000    0.000    0.000    0.000 base.py:2838(_assert_can_do_setop)
      350    0.001    0.000    0.005    0.000 base.py:2854(get_loc)
   120/61    0.004    0.000    0.019    0.000 base.py:293(__new__)
        7    0.000    0.000    0.004    0.001 base.py:2960(get_indexer)
      333    0.000    0.000    0.000    0.000 base.py:3108(_get_partial_string_timestamp_match_key)
        3    0.000    0.000    0.000    0.000 base.py:3127(_convert_slice_indexer)
        9    0.000    0.000    0.000    0.000 base.py:3145(is_int)
      326    0.000    0.000    0.003    0.000 base.py:328(__iter__)
      640    0.001    0.000    0.009    0.000 base.py:328(_get_coords)
        3    0.000    0.000    0.000    0.000 base.py:335(_check_n_features)
       12    0.000    0.000    0.003    0.000 base.py:3418(join)
      318    0.000    0.000    0.001    0.000 base.py:355(geometryType)
      318    0.000    0.000    0.001    0.000 base.py:358(type)
        3    0.000    0.000    0.003    0.001 base.py:369(_validate_data)
       12    0.000    0.000    0.001    0.000 base.py:3786(_join_monotonic)
      756    0.001    0.000    0.009    0.000 base.py:3873(_values)
       56    0.000    0.000    0.000    0.000 base.py:3899(_get_engine_target)
        2    0.000    0.000    0.001    0.000 base.py:3983(_coerce_scalar_to_index)
        3    0.000    0.000    0.000    0.000 base.py:4019(_has_complex_internals)
      531    0.002    0.000    0.003    0.000 base.py:4039(__contains__)
      522    0.002    0.000    0.003    0.000 base.py:4086(__getitem__)
     5890    0.008    0.000    0.012    0.000 base.py:413(find)
       12    0.000    0.000    0.005    0.000 base.py:4136(append)
       12    0.000    0.000    0.000    0.000 base.py:4159(<setcomp>)
       12    0.000    0.000    0.005    0.000 base.py:4164(_concat)
       12    0.000    0.000    0.000    0.000 base.py:4168(<listcomp>)
      191    0.003    0.000    0.010    0.000 base.py:4199(equals)
        4    0.000    0.000    0.000    0.000 base.py:424(<genexpr>)
      320    0.000    0.000    0.001    0.000 base.py:4618(_should_fallback_to_positional)
      320    0.000    0.000    0.001    0.000 base.py:4626(_get_values_for_loc)
      274    0.002    0.000    0.002    0.000 base.py:463(_simple_new)
        1    0.000    0.000    0.002    0.002 base.py:4703(get_indexer_for)
        7    0.000    0.000    0.000    0.000 base.py:4720(_maybe_promote)
      160    0.002    0.000    0.150    0.001 base.py:491(convex_hull)
        2    0.000    0.000    0.000    0.000 base.py:492(_get_attributes_dict)
        2    0.000    0.000    0.000    0.000 base.py:496(<dictcomp>)
      350    0.001    0.000    0.003    0.000 base.py:4979(_maybe_cast_indexer)
       44    0.000    0.000    0.001    0.000 base.py:498(_shallow_copy)
        9    0.000    0.000    0.000    0.000 base.py:4988(_validate_indexer)
      191    0.000    0.000    0.000    0.000 base.py:520(is_)
        2    0.000    0.000    0.001    0.001 base.py:5240(insert)
      294    0.000    0.000    0.000    0.000 base.py:544(_reset_identity)
       49    0.001    0.000    0.001    0.000 base.py:554(_engine)
     1020    0.001    0.000    0.015    0.000 base.py:5562(ensure_index)
