Ouverture de la DataFrame...    5.402 s
On ne garde que les données du centre...    0.965 s
On sépare par la Seine...    12.490 s
Clusterisation...    11.265 s
Sauvegarde sur la carte...    0.621 s
Terminé !
         15046718 function calls (15012641 primitive calls) in 30.981 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      344    0.000    0.000    0.000    0.000 array.py:123(_geom_to_shapely)
        4    0.000    0.000    0.000    0.000 array.py:150(from_shapely)
      168    0.000    0.000    0.001    0.000 array.py:169(to_shapely)
      172    0.002    0.000    3.855    0.022 array.py:230(points_from_xy)
      196    0.001    0.000    0.001    0.000 array.py:264(__init__)
        8    0.000    0.000    0.000    0.000 array.py:283(crs)
      200    0.000    0.000    0.000    0.000 array.py:297(crs)
       76    0.000    0.000    0.000    0.000 array.py:315(dtype)
       56    0.000    0.000    0.000    0.000 array.py:319(__len__)
      344    0.001    0.000    0.002    0.000 array.py:322(__getitem__)
       21    0.000    0.000    0.000    0.000 array.py:33(construct_from_string)
       60    0.000    0.000    0.000    0.000 array.py:700(size)
       60    0.000    0.000    0.000    0.000 array.py:704(shape)
        4    0.000    0.000    0.000    0.000 array.py:708(ndim)
       20    0.000    0.000    0.000    0.000 array.py:712(copy)
      170    0.002    0.000    0.031    0.000 array_ops.py:119(na_arithmetic_op)
      170    0.004    0.000    0.050    0.000 array_ops.py:195(comparison_op)
      170    0.000    0.000    0.000    0.000 array_ops.py:404(maybe_upcast_datetimelike_array)
        1    0.000    0.000    0.000    0.000 attr.txt:1(<module>)
        2    0.000    0.000    0.000    0.000 attr.txt:5(root)
       10    0.000    0.000    0.000    0.000 base.py:1032(__iter__)
       12    0.000    0.000    0.000    0.000 base.py:116(_invalidate_sindex)
      373    0.000    0.000    0.000    0.000 base.py:1175(name)
       31    0.000    0.000    0.000    0.000 base.py:1182(name)
     4738    0.003    0.000    0.004    0.000 base.py:1188(isspmatrix)
        1    0.000    0.000    0.004    0.004 base.py:120(cmp_method)
        8    0.000    0.000    0.000    0.000 base.py:1213(_get_names)
        8    0.000    0.000    0.000    0.000 base.py:1216(_set_names)
        8    0.000    0.000    0.000    0.000 base.py:1246(set_names)
        8    0.000    0.000    0.001    0.000 base.py:1255(unique)
        8    0.000    0.000    0.000    0.000 base.py:131(crs)
        8    0.000    0.000    0.000    0.000 base.py:1324(rename)
      582    0.000    0.000    0.000    0.000 base.py:1378(nlevels)
   313625    0.484    0.000    0.570    0.000 base.py:142(geos_geom_from_py)
        4    0.000    0.000    0.000    0.000 base.py:145(crs)
       12    0.000    0.000    0.000    0.000 base.py:155(kind)
       56    0.000    0.000    0.001    0.000 base.py:1571(is_monotonic)
       32    0.001    0.000    0.001    0.000 base.py:1578(is_monotonic_increasing)
       34    0.001    0.000    0.001    0.000 base.py:1646(is_unique)
        9    0.000    0.000    0.000    0.000 base.py:1685(is_boolean)
        8    0.000    0.000    0.000    0.000 base.py:1720(is_integer)
      372    0.000    0.000    0.001    0.000 base.py:1755(is_floating)
        4    0.000    0.000    0.000    0.000 base.py:180(names)
      336    0.000    0.000    0.000    0.000 base.py:1994(holds_integer)
       35    0.000    0.000    0.001    0.000 base.py:2000(inferred_type)
        8    0.000    0.000    0.000    0.000 base.py:2007(is_all_dates)
      210    0.000    0.000    0.000    0.000 base.py:201(construct_from_string)
        4    0.000    0.000    0.000    0.000 base.py:21(is_geometry_type)
        8    0.000    0.000    0.001    0.000 base.py:2217(unique)
   943387    0.791    0.000    0.791    0.000 base.py:224(empty)
314797/314630    0.159    0.000    0.641    0.000 base.py:241(__del__)
       16    0.000    0.000    0.000    0.000 base.py:2480(_validate_sort_keyword)
     4061    0.003    0.000    0.014    0.000 base.py:256(is_dtype)
        8    0.000    0.000    0.000    0.000 base.py:259(_inner_indexer)
   321329    0.087    0.000    0.087    0.000 base.py:261(_geom)
        8    0.000    0.000    0.000    0.000 base.py:2614(_wrap_setop_result)
       16    0.000    0.000    0.009    0.001 base.py:2619(intersection)
   314797    0.203    0.000    0.353    0.000 base.py:265(_geom)
       16    0.000    0.000    0.000    0.000 base.py:2838(_assert_can_do_setop)
      372    0.001    0.000    0.004    0.000 base.py:2854(get_loc)
   152/78    0.003    0.000    0.017    0.000 base.py:293(__new__)
        9    0.000    0.000    0.003    0.000 base.py:2960(get_indexer)
      353    0.000    0.000    0.000    0.000 base.py:3108(_get_partial_string_timestamp_match_key)
        4    0.000    0.000    0.000    0.000 base.py:3127(_convert_slice_indexer)
       12    0.000    0.000    0.000    0.000 base.py:3145(is_int)
      344    0.000    0.000    0.003    0.000 base.py:328(__iter__)
      672    0.001    0.000    0.006    0.000 base.py:328(_get_coords)
        4    0.000    0.000    0.000    0.000 base.py:335(_check_n_features)
       16    0.000    0.000    0.002    0.000 base.py:3418(join)
      334    0.000    0.000    0.001    0.000 base.py:355(geometryType)
      334    0.000    0.000    0.001    0.000 base.py:358(type)
        4    0.000    0.000    0.002    0.000 base.py:369(_validate_data)
       16    0.000    0.000    0.001    0.000 base.py:3786(_join_monotonic)
      845    0.001    0.000    0.005    0.000 base.py:3873(_values)
       71    0.000    0.000    0.000    0.000 base.py:3899(_get_engine_target)
        2    0.000    0.000    0.000    0.000 base.py:3983(_coerce_scalar_to_index)
        4    0.000    0.000    0.000    0.000 base.py:4019(_has_complex_internals)
      566    0.002    0.000    0.003    0.000 base.py:4039(__contains__)
      555    0.002    0.000    0.002    0.000 base.py:4086(__getitem__)
     6340    0.006    0.000    0.009    0.000 base.py:413(find)
       16    0.000    0.000    0.005    0.000 base.py:4136(append)
       16    0.000    0.000    0.000    0.000 base.py:4159(<setcomp>)
       16    0.000    0.000    0.005    0.000 base.py:4164(_concat)
       16    0.000    0.000    0.000    0.000 base.py:4168(<listcomp>)
      207    0.002    0.000    0.008    0.000 base.py:4199(equals)
        4    0.000    0.000    0.000    0.000 base.py:424(<genexpr>)
      336    0.000    0.000    0.001    0.000 base.py:4618(_should_fallback_to_positional)
      336    0.000    0.000    0.001    0.000 base.py:4626(_get_values_for_loc)
      309    0.001    0.000    0.002    0.000 base.py:463(_simple_new)
        1    0.000    0.000    0.000    0.000 base.py:4703(get_indexer_for)
        9    0.000    0.000    0.000    0.000 base.py:4720(_maybe_promote)
      168    0.001    0.000    0.066    0.000 base.py:491(convex_hull)
        2    0.000    0.000    0.000    0.000 base.py:492(_get_attributes_dict)
        2    0.000    0.000    0.000    0.000 base.py:496(<dictcomp>)
      372    0.001    0.000    0.002    0.000 base.py:4979(_maybe_cast_indexer)
       53    0.000    0.000    0.001    0.000 base.py:498(_shallow_copy)
       12    0.000    0.000    0.000    0.000 base.py:4988(_validate_indexer)
      207    0.000    0.000    0.000    0.000 base.py:520(is_)
        2    0.000    0.000    0.001    0.000 base.py:5240(insert)
      332    0.000    0.000    0.000    0.000 base.py:544(_reset_identity)
       62    0.000    0.000    0.001    0.000 base.py:554(_engine)
     1106    0.001    0.000    0.013    0.000 base.py:5562(ensure_index)
       74    0.000    0.000    0.000    0.000 base.py:561(<lambda>)
       16    0.000    0.000    0.000    0.000 base.py:5648(_validate_join_method)
       19    0.000    0.000    0.001    0.000 base.py:5653(default_index)
      781    0.001    0.000    0.004    0.000 base.py:5659(maybe_extract_name)
     2635    0.001    0.000    0.002    0.000 base.py:567(__len__)
       70    0.000    0.000    0.001    0.000 base.py:5675(_maybe_cast_with_dtype)
        4    0.000    0.000    0.000    0.000 base.py:569(_is_builtin_func)
       68    0.000    0.000    0.002    0.000 base.py:5729(_maybe_cast_data_without_dtype)
        2    0.000    0.000    0.000    0.000 base.py:573(__array__)
      241    0.000    0.000    0.000    0.000 base.py:590(dtype)
       20    0.000    0.000    0.000    0.000 base.py:613(view)
        3    0.000    0.000    0.000    0.000 base.py:625(astype)
      184    0.000    0.000    0.000    0.000 base.py:637(ndim)
